date_processed,rspm,spm,pm2_5
1992-12-01,,224.59400000000002,
1993-01-01,,195.33333333333334,
1993-02-01,,308.1666666666667,
1993-03-01,,406.2,
1993-04-01,,481.3333333333333,
1993-05-01,,,
1993-06-01,,362.5,
1993-07-01,,391.5,
1993-08-01,,240.5,
1993-09-01,,268.875,
1993-10-01,,275.8333333333333,
1993-11-01,,275.5185185185185,
1993-12-01,,180.70833333333331,
1994-01-01,,268.00050505050507,
1994-02-01,,276.7435483870967,
1994-03-01,,307.6144444444445,
1994-04-01,,296.58872549019605,
1994-05-01,,317.9632352941176,
1994-06-01,,276.90909090909093,
1994-07-01,,186.8235294117647,
1994-08-01,,217.69191919191917,
1994-09-01,,261.37373737373736,
1994-11-01,,295.128431372549,
1994-12-01,,308.409375,
1995-01-01,,297.6268518518518,
1995-02-01,,291.71126126126126,
1995-03-01,,273.6899122807018,
1995-04-01,,266.56081081081084,
1995-05-01,,299.5197368421053,
1995-06-01,,290.68108108108106,
1995-07-01,,229.71184210526317,
1995-08-01,,194.06447368421053,
1995-09-01,,218.83999999999997,
1995-10-01,,273.72136752136754,
1995-11-01,,304.74095238095236,
1995-12-01,,346.7890350877193,
1996-01-01,,293.8265432098765,
1996-02-01,,313.875786163522,
1996-03-01,,310.79455128205126,
1996-04-01,,334.12948717948717,
1996-05-01,,317.88397435897434,
1996-06-01,,271.4522435897436,
1996-07-01,,209.85555555555555,
1996-08-01,,186.45993589743588,
1996-09-01,,236.16848484848484,
1996-10-01,,274.9442424242424,
1996-11-01,,297.22363636363633,
1996-12-01,,336.89363636363635,
1997-01-01,,285.21138888888885,
1997-02-01,,289.6956284153006,
1997-03-01,,282.8536111111111,
1997-04-01,,256.8769696969697,
1997-05-01,,260.14912280701753,
1997-06-01,,223.24678362573096,
1997-07-01,,190.3655367231638,
1997-08-01,,173.3036723163842,
1997-09-01,,186.68333333333334,
1997-10-01,,222.6931693989071,
1997-11-01,,242.36468926553673,
1997-12-01,,239.44555555555553,
1998-01-01,,306.1797619047619,
1998-02-01,,313.1193452380952,
1998-03-01,,290.86939393939394,
1998-04-01,,297.3963636363637,
1998-05-01,,326.25524691358027,
1998-06-01,,265.68301282051283,
1998-07-01,,228.64693877551022,
1998-08-01,,218.70163398692813,
1998-09-01,,236.17614379084964,
1998-10-01,,270.5840425531915,
1998-11-01,,305.5072916666666,
1998-12-01,,371.28472222222223,
1999-01-01,,307.3328205128205,
1999-02-01,,274.7685483870968,
1999-03-01,,300.0520833333333,
1999-04-01,,310.57500000000005,
1999-05-01,,288.3486559139785,
1999-06-01,,274.70092592592596,
1999-07-01,,213.1929012345679,
1999-08-01,,204.51388888888889,
1999-09-01,,216.1034591194969,
1999-10-01,,243.23621794871798,
1999-11-01,,283.4707482993197,
1999-12-01,,305.1953333333333,
2000-01-01,,278.36522988505743,
2000-02-01,,260.382183908046,
2000-03-01,,259.5604166666667,
2000-04-01,,282.1111111111111,
2000-05-01,,267.0262711864407,
2000-06-01,,245.2275641025641,
2000-07-01,,187.03641975308642,
2000-08-01,,178.5592948717949,
2000-09-01,,201.52727272727273,
2000-10-01,,250.9367816091954,
2000-11-01,,270.01575757575756,
2000-12-01,,312.17987421383646,
2001-01-01,,312.6673202614379,
2001-02-01,,316.51176470588234,
2001-03-01,,311.65782312925177,
2001-04-01,,316.86805555555554,
2001-05-01,,327.89379084967317,
2001-06-01,,238.96466666666666,
2001-07-01,,183.7566666666667,
2001-08-01,,188.695,
2001-09-01,,212.05128205128204,
2001-10-01,,248.33493589743588,
2001-11-01,,297.675,
2001-12-01,,294.80882352941177,
2002-01-01,,206.2266666666667,
2002-02-01,,207.16156462585036,
2002-03-01,,195.2227891156463,
2002-04-01,,230.76530612244895,
2002-05-01,,227.55555555555557,
2002-06-01,,185.99673202614377,
2002-07-01,,198.6929012345679,
2002-08-01,,155.8125,
2002-09-01,,164.81578947368422,
